RU	ING
Что ему было делать: от Арзиньяна до Тифлиза два месяца езды, а оставалось только два дня.	Иразе а сакъердаме а —НЕ› ВЫ ваха волавелар _ Ашик-Кериб, чТоаг1а поноеоиундтоо ауч овооротай в1аьхи а хилар из.
«Аллах всемогущий, – воскликнул он, – если ты уж мне не поможешь, то мне нечего на земле делать».	Ший Магуль-Мегери цунна йицъеннай, Йицъеннаяц — сона хац, ' цхьабакъда, ха йистей оалаш-м латтар.
И хочет он броситься с высокого утеса; вдруг видит внизу человека на белом коне; и слышит громкий голос: «Оглан , что ты хочешь делать?» «Хочу умереть», – отвечал Ашик. – «Слезай же сюда, если так, я тебя убью».	Ший Магуль-Мегери цунна йицъеннай, Йицъеннаяц — сона хац, ' цхьабакъда, ха йистей оалаш-м латтар.
Ашик спустился кое-как с утёса.	Хо- _ “ёіё ‘* за Магуль-Мегери корзаг1ъяла йолаелар. ‘а ‘? ' Цу ханна, шийца — шовзткъа — инкали СО ВЕ везткъа лайи волаш Гуржег1ара кира оаа д…з *’ ваха кийчлуш купец вар.
«Ступай за мною», – сказал грозно всадник.	Хо- _ “ёіё ‘* за Магуль-Мегери корзаг1ъяла йолаелар. ‘а ‘? ' Цу ханна, шийца — шовзткъа — инкали СО ВЕ везткъа лайи волаш Гуржег1ара кира оаа д…з *’ ваха кийчлуш купец вар.
«Как я могу за тобою следовать, – отвечал Ашик, – твой конь летит, как ветер, а я отягощён сумою».	Из купец ший- _ ьт'“’ ’_ і ‘и на 1а а вийха, цунга дошо оаркхилг ‘а 1 ы № делар Магуль-Мегере. “Д1аэца ер оарк- _ ае Ё' р хилг, — аьлар цо, — хье моллаг1ча городе г" х ы та "1 кхоаче а, ер оарлхилг хьай тика чу Ч хьал а оттадийя, массанахьа а дакхай- _‚‚ё"‹ Ж : каде, укх оаркхилга да кора а воаг1е, ‚ *"*’ „‚ у ер ший хилар цунна хьахьокха а моге, аО Й 1 ер оаркхилги укханца эзза дошуви лург- ИЕЕ « : ' да цунна,аьле“.
«Правда, повесь же суму свою на седло моё и следуй», – отстал Ашик-Кериб, как ни старался бежать.	Из купец ший- _ ьт'“’ ’_ і ‘и на 1а а вийха, цунга дошо оаркхилг ‘а 1 ы № делар Магуль-Мегере. “Д1аэца ер оарк- _ ае Ё' р хилг, — аьлар цо, — хье моллаг1ча городе г" х ы та "1 кхоаче а, ер оарлхилг хьай тика чу Ч хьал а оттадийя, массанахьа а дакхай- _‚‚ё"‹ Ж : каде, укх оаркхилга да кора а воаг1е, ‚ *"*’ „‚ у ер ший хилар цунна хьахьокха а моге, аО Й 1 ер оаркхилги укханца эзза дошуви лург- ИЕЕ « : ' да цунна,аьле“.
«Что ж ты отстаёшь», – спросил всадник.	Вахар купец; Магуль- ё 1 Мегере шийна т1адиллаьр массанахьа а 3 1 кхоачашдир цо, цхьабакъда, цхьаннахьа а дошоча оаркхилга да кораванзар.
«Как же я могу следовать за тобою, твой конь быстрее мысли, а я уж измучен». – «Правда, садись же сзади на коня моего и говори всю правду, куда тебе нужно ехать». – «Хоть бы в Арзерум поспеть нынче», – отвечал Ашик.	Вахар купец; Магуль- ё 1 Мегере шийна т1адиллаьр массанахьа а 3 1 кхоачашдир цо, цхьабакъда, цхьаннахьа а дошоча оаркхилга да кораванзар.
«Закрой же глаза».	Мас- мо О санахьа а кхайкадир цо Магуль-Мегере ой Щ шийна т11адиллаьр.
Он закрыл.	Из хеза а хеза, вед- ааы иоеят: ьа да Ашик-Кериб кир латтача веча, цун- вооаа ае ооа Н ОООа ста на б1аргадайра Гуржег1арча купеца тика : ; чу латташ дошо оаркхилг. „Вр са да1 —- аьлар цо, катеха из хьа а ийца.— Хьа — „е - “ В : да а да из, — аьлар купеца — сона вайза ' : „вО «5Ц хьо, Ашик-Кери . уВолле чехка Гурже‘Ё 1 : / //’ і НМ„Ё ”? ;Ш‘ЬЁ“ З'”ЁЧ‘ га кхача; хьа Магуль-Мегере хьога ала З )/ "??"Ё1
«Теперь открой».	Из хеза а хеза, вед- ааы иоеят: ьа да Ашик-Кериб кир латтача веча, цун- вооаа ае ооа Н ОООа ста на б1аргадайра Гуржег1арча купеца тика : ; чу латташ дошо оаркхилг. „Вр са да1 —- аьлар цо, катеха из хьа а ийца.— Хьа — „е - “ В : да а да из, — аьлар купеца — сона вайза ' : „вО «5Ц хьо, Ашик-Кери . уВолле чехка Гурже‘Ё 1 : / //’ і НМ„Ё ”? ;Ш‘ЬЁ“ З'”ЁЧ‘ га кхача; хьа Магуль-Мегере хьога ала З )/ "??"Ё1
Смотрит Ашик: перед ним белеют Керван – караван.	ЁЁ‘:“ЁК"›Ё_ ’д_уг _ч ‘… аьннадар сога, ха йистейоалаш латт, ай- ;1 '.' : ай ;Ё " Ё'(- ‘ ха диллаьча' дийнахь хьо ща ца кхоаче, в ' и о ЙЙ('Ъ ше кхычунга маьре йода, аьнна.
Оглан – сын. стены и блещут минареты Арзрума.	ЁЁ‘:“ЁК"›Ё_ ’д_уг _ч ‘… аьннадар сога, ха йистейоалаш латт, ай- ;1 '.' : ай ;Ё " Ё'(- ‘ ха диллаьча' дийнахь хьо ща ца кхоаче, в ' и о ЙЙ('Ъ ше кхычунга маьре йода, аьнна.
«Виноват, Ага, – сказал Ашик, – я ошибся, я хотел сказать, что мне надо в Карс.	Кор- ;Ё ‹ ‘у'Хо ЛВ Ыдд заг1а а ваьнна кертах кулгаш хьалтехар .
«То-то же, – отвечал всадник, – я предупредил тебя, чтоб ты говорил мне сущую правду; закрой же опять глаза, – теперь открой».	Кор- ;Ё ‹ ‘у'Хо ЛВ Ыдд заг1а а ваьнна кертах кулгаш хьалтехар .
