# RU	ING
счастливо и весело стал жить Ашик-Кериб и сделался очень богат	хана Халафе вахаш цхьа паша вар, илешта ч1оаг1а т1ера волаш.
забыл он свою Магуль-Мегери или нет, не знаю, только срок истекал, последний год скоро должен был кончиться, а он и не готовился к отъезду.	Дукха кхийлабар цунна т1а илли оалаш бола нах — царех цхьаккха а цунна везалацар.
выставь это блюдо в своей лавке и объяви везде	Цун гулакхчаш ч1юаг1а эттабар городе г11олла идда.
кто признается моему блюду хозяином и докажет это	ШЩаьхха, кофе мелача щенна улув голла т1ехбоалаш царна хезар тамашийна 0а3.
получит его и вдобавок вес его золотом».	„Волле тхоца воккха сийлахь паша волча, — аьнна, щ1ог11арч хьекхар цар, е хьай кертаца жоп лургда 1а тхона1"—Со кортамукъа саг ва
Отправился купец, везде исполнял поручение Магуль-Мегери, но никто не признался хозяином золотому блюду.	Гуржег1е яхача городера воаг11аш наькъахо,— йоахар Ашик-Кериба.
Уж он продал почти все свои товары и приехал с остальными в Халаф: объявил он везде поручение Магуль-Мегери.	Сай безам бий — воаг1аргва, беций — воаг1аргвац; илла а оал ала дезача хана, х1аьта шун паша кхы сона тавиллаь а вац.
Услыхав это, Ашик-Кериб прибегает в караван-сарай: и видит золотое блюдо в лавке тифлизского купца.	ХТаьта , а, из цо яххашехь а, катеха водаваь, паша волча вигар цар из.
«Это моё», – сказал он, схватив его рукою.	„Даала илли“, аьлар пашас,— укхо илли аьлар.
«Точно, твоё, – сказал купец, – я узнал тебя	Из илли сов чГоаг1а дезаденнача цу курача пашас ер къе Ашик-Кериб ше волча соцавир.
Ашик-Кериб: ступай же скорее в Тифлиз, твоя Магуль-Мегери велела тебе сказать, что срок истекает, и если ты не будешь в назначенный день, то она выйдет за другого».	Хьат1адоладелар цунна дошув а дотув а, къаьгар цунна т1ехь д1аьхи дувхар.
В отчаянии Ашик-Кериб схватил себя за голову: оставалось только три дни до рокового часа.	Иразе а сакъердаме а ваха волавелар — Ашик-Кериб, чТоаг1а в1аьхи а хилар из.
Однако он сел на коня, взял с собою суму с золотыми монетами – и поскакал, не жалея коня	цунна йицъеннай, йЙицъенная ц — сона хац, цхьабакъда, ха йистей оалаш-м латтар.
наконец измученный бегун упал бездыханный на Арзинган горе, что между Арзиньяном и Арзерумом.	Юххера шу йистедаладоаллаш дар, ©р х1аьта а ща ваха кийчлуш а вацар.
Что ему было делать: от Арзиньяна до Тифлиза два месяца езды, а оставалось только два дня.	Хоза Магуль-Мегери корзаг1ъяла йолаелар.
«Аллах всемогущий, – воскликнул он, – если ты уж мне не поможешь, то мне нечего на земле делать».	Цу ханна, шийца шовзткъа — инкали везткъа лайи волаш Гуржег1ара кира ваха кийчлуш купец вар.
И хочет он броситься с высокого утеса	цунга дошо оаркхилг делар Магуль-Мегере. “Д1аэца ер оаркхилг,— аьлар цо,— хье моллаг1ча городе кхоаче а
вдруг видит внизу человека на белом коне	ер оарлхилг хьай тика чу хьал а оттадийя
и слышит громкий голос: «Оглан , что ты хочешь делать?» «Хочу умереть», – отвечал Ашик. – «Слезай же сюда, если так, я тебя убью».	массанахьа а дакхайкаде
Ашик спустился кое-как с утёса.	ер ший хилар цунна хьахьокха а моге
«Ступай за мною», – сказал грозно всадник.	Вахар купец; МагульМегере шийна т1адиллаьр массанахьа а кхоачашдир цо, цхьабакъда, цхьаннахьа а дошоча оаркхилга да кораванзар.
«Как я могу за тобою следовать, – отвечал Ашик, – твой конь летит, как ветер, а я отягощён сумою».	Массанахьа а кхайкадир цо Магуль-Мегере шийна тадиллаьр.
«Правда, повесь же суму свою на седло моё и следуй», – отстал Ашик-Кериб, как ни старался бежать.	Из хеза а хеза, ведда Ашик-Кериб кир латтача веча, цунна б1аргадайра Гуржег1арча купеца тика чу латташ дошо оаркхилг.
«Что ж ты отстаёшь», – спросил всадник.	„р са да1 —
«Как же я могу следовать за тобою	аьлар цо, катеха из хьа а ийца.
твой конь быстрее мысли	Хьа да а да из, — аьлар купеца — сона вайзар хьо,
а я уж измучен». – «Правда	хьа Магуль-Мегере хьога ала — аьннадар сога, ха йистейоалаш латт
садись же сзади на коня моего и говори всю правду	Тайха диллаьча дийнахь хьо ща ца кхоаче, ше кхычунга маьре йода, аьнна.
куда тебе нужно ехать». – «Хоть бы в Арзерум поспеть нынче», – отвечал Ашик.	Корзаг1а а ваьнна кертах кулгаш хьалтехар .
«Закрой же глаза».	ЖГаьта а, говра та а хайна, шийца дошоча ахчан т1орми а ийца, говр кхо ца еш, д'1аийккхар из.
Он закрыл.	Эггара т1ехьа а сов чЧ1оаг1а — хийхка са а хаьда
«Теперь открой».	Арзиньянаи — Арзерумаи юкъерча Арзинган-лоам та Токхийт- хьо?“ — „Вала безам болаш ва,“— аьнна та елар говр.
Смотрит Ашик: перед ним белеют Керван – караван.	Х1анз фу дергда цо? жоп делар Ашика.
Оглан – сын. стены и блещут минареты Арзрума.	„ТокГалвала — х1аьта Арзиньянера Гуржег1а шин бетта бах- уккхаза; ишта дале, аз вувргва хьо.“ хьал никъ ба, юхедисар ши ди мара дац.
«Виноват, Ага, – сказал Ашик, – я ошибся, я хотел сказать, что мне надо в Карс.	Ашик халла |окГалваьлар лоамах.
«То-то же, – отвечал всадник, – я предупредил тебя, чтоб ты говорил мне сущую правду; закрой же опять глаза, – теперь открой».	„Хьа„Низ кхоачаш вола аллах11— аьнна щ10- волле сона техьа“, — аьлар цуш'*а ” баьга техар цо.
Ашик себе не верит: то, что это Карс.	ХГанз 1а сона новкъостал ° речо бирса.
Он упал на колени и сказал: «Виноват	„Мишта воаг1а со хьона ца дойя
Ага, трижды виноват твой слуга Ашик-Кериб: но ты сам знаешь, что если человек решился лгать с утра, то должен лгать до конца дня: мне по-настоящему надо в Тифлиз».	укх лаьтта кхы дё х[ама дац _ т1ехьа, — аьнна жоп делар Ашика,— хьа са1* Лакхача лоамах ахка ваха безам і ды мух мо масса бода
«Экой ты, неверный, – сказал сердито всадник, – но нечего делать: прощаю тебе – закрой же глаза.	х1аьта со е;
Теперь открой», – прибавил он по прошествии минуты.	т10рхилар цун.
Ашик вскрикнул от радости: они были у ворот Тифлиза.	Шаьхха Точухьежача, Тоа кТал ма беза а болаш, воалац.
Принеся искреннюю свою благодарность и взяв свою суму с седла	„Бакълув: из сирача дына т1аваг1аш цхьа саг а б11ар- хьай т1юрми са — нуврах Хьа а `элле гавайра цунна, цо теха ч1оаг1/а щог1а а волле сона тГехьа“.
Ашик-Кериб сказал всаднику: «Ага, конечно, благодеяние твоё велико, но сделай ещё больше	Мелла ада гіийр: хезар: „Ог1лан
если я теперь буду рассказывать, что в один день поспел из Арзиньяна в Тифлиз, мне никто не поверит	„ТГехьа *) Ог1лан — з1амига саг (
дай мне какое-нибудь доказательство».	Х|ана Вус ХЬО?"' Н хаьттар Цунга
«Наклонись, – сказал тот	баьречо, — „Мишта кхув со хьона тГехьа: хьа ды уйлал а массаг1а ба, х1аьта со ч1оаг1а этта ва.—-,„Бакълув
