# RU	ING
Аллах дал мне крылья, и я прилетел сюда	Царга юхаоалаш хиннад „шинди-гёрурсез“.
чтоб я стал жертвою белого коня	Цудухьа со ваьчул т1ехьаг1а сох тиллай из Щи“.— Цул т1ехьаг1а сааз хьа а ийца
он скакал быстро	илли ала волавелар из: „Халаф яхача городе мисирара чхьагар мийннад аз
как плясун по канату	цхьабакъда
с горы в ущелья	дала ткъамаш а денна
из ущелья на гору: Маулям (создатель) дал Ашику крылья	кхаь — дийнахь — укхаза вера со“.
и он прилетел на свадьбу Магуль-Мегери».	Дукха хьаькъала да а воацаш волча Куршуд-бека вошас шалта хьал а яьккха цщюг1а техар:—“Харц лув хьо1 мишта кхоачаргва Халафера укхаза кхаь дийнахь?“.
Тогда Магуль-Мегери	„Сендухьа г[ерт хьо со ве,— аьлар Ашика, — иллеш доаха нах массаза а дунен йиъэ а ми1ингера цхьан метте гуллуш Таьдал да
узнав его голос	шугара эцаш х1ама а дац са, — шу теше а ца теше а“.
бросила яд в одну сторону	„Д1ахо — алийта“, — аьлар — маро, — т1аккха Ашик-Кериба юха а илли аьлар: „1уйра ламаз дир аз Арзиньяна атаг1а, делкъа ламаз дир аз Арзерум яхача городе
а кинжал в другую: «Так-то ты сдержала свою клятву, – сказали её подруги, – стало быть	малхбуза ламаз дир аз Къарс яхача городе, маьрк1ижа ламаз дир аз — Гуржег1а.
сегодня ночью ты будешь женою Куршуд-бека».	Аллах1о ткъамаш а денна
«Вы не узнали, а я узнала милый мне голос», – отвечала Магуль-Мегери; и, взяв ножницы, она прорезала чапру.	туль-Мегери — безача ‘маьха — кхоллара т1ехьашка ший — новкъосташца — яг1ар
Когда же посмотрела и точно узнала своего Ашик-Кериба, то вскрикнула; бросилась к нему на шею, и оба упали без чувств.	цхьан бе дохьажа кади вокх бе ира шалтеи йоаллаш: цо дув биабар ший корта Куршуд-бека метта Гюбужабалехьа яла
Брат Куршуд-бека бросился на них с кинжалом	Цу ‘кхоллара т1ехьашка ягаш
намереваясь заколоть обоих	цхьа малав ца ховш вола саг щЩаг1а чу а ваьнна цо оалаш хезар цунна: „Ассалам 1алайкум1 шу укхаза сакъердаш
но Куршуд-бек остановил его	дика хьегаш ма доахкий
примолвив: «Успокойся и знай: что написано у человека на лбу при его рождении	со къеча наькъахочунна а пурам да шоашца Гоха
того он не минует».	цудухьа аз илли а аргда шоана“.—“Хана лиц хьона — пурам?— аьлар — Куршуд-бека.— Укхаза чубахкийта безаш ма бий илли оалараш, халхархой, х1ана аьлча укхаза саг йоаг1а моттиг я
Придя в чувства, Магуль-Мегери покраснела от стыда, закрыла лицо рукою и спряталась за чапру.	моллаг11а аьле а илли ала Ашик
«Теперь точно видно	водача хана аз коана Йизза дошув а ийца вохийтаргва хьо“. `Чаккха Куршуд-бека хаьттар цунга:— „И фуй хьа
что ты Ашик-Кериб, – сказал жених, – но поведай	наькъахо?“ — „Шиндигёрурсез “— „Са нана сох йолаш
как же ты мог в такое короткое время проехать такое великое пространство?» В доказательство истины отвечал Ашик: «Сабля моя перерубит камень	из бер де хьайзаьча хана
если же я лгу	дуккхача лоалахоша на1арга а ухаш * Шинди-гёрурсез — кастта ховргда шоана,
то да будет шея моя тоньше волоска	ткъамашца укхаза хьавера со; сирача дынна хьалхара саг1[а хилва со.
но лучше всего приведите мне слепую, которая бы семь лет уж не видала свету божьего, и я возвращу ей зрение».	Муша т[а ловзача пелхьал массаг1а. удар из лоам. т1ара ч1ожа а ч1ожара лоам та а.
Сестра Ашик-Кериба, стоявшая у двери и услышав такую речь, побежала к матери.	сона яйзар сайна дукха езаш йола гТар“,— аьлар Магуль-Мегере
«Матушка1 – закричала она, – Это точно брат и точно твой сын Ашик-Кериб».	т1аккха к1од хьа а ийца
И, взяв её под-руку, привела старуху на пир свадебный.	кхоллар доатт1адир цо.
Тогда Ашик взял комок земли из-за пазухи, развёл его водою и намазал матери глаза, примолвив: «Знайте все люди, как могущ и велик Хадрилиаз».	Цига г1олла д1а а хьажаь ший Ашик-Кериб шийна вайзачул т1ехьаг1а, мухь а теха, яха цунна ‚ фоартах качхьаьрчар из, т1аккха шшаккхе а дог к1аьд а денна
И мать его прозрела.	Куршуд-бека воша шалта а яьккха "тГатоссавелар царна, цу шиннена а шалта [етта дагахь, цхьабакъда
После того никто не смел сомневаться в истине слов его, и Куршуд-бек уступил ему безмолвно прекрасную Магуль-Мегери.	Куршуд-бека: юхасоцавир из: „Сих ма ле, хьона ха * Мовлана — вай аьла (
Тогда в радости Ашик-Кериб сказал ему: «Послушай	деза: саг нанас веча хана цунна хьажаюкъе яздаь хиннар, сага хиланза даргдоацалга“.
Куршуд-бек, я тебя утешу: сестра моя не хуже твоей прежней невесты, я богат: у ней будет не менее серебра и золота	„Беррига нах, шоана д1аха, мел низ 90Ший са метта деначул т1ехьаг1а
итак возьми её за себя – и будьте так же счастливы, как я с моей дорогою Магуль-Мегери».	Ма- лаш а сийлахь-воккха а ва Хадерилиаз1* — гуль-Мегери эхь хийтта щий а енна
Намаз – обязательная ежедневная пятикратная молитва у мусульман.	Таккха нанас б1аргаш хьалекхар.
